날짜,고객번호,카페,음식점,여행,서점,쇼핑,온라인결제,교통,미용실,병원,주유소,화장품,편의점,주차장,문화,이동통신,학원,스포츠,부동산,자동차,기기,기타,동물병원,세탁소,영화,정육점,해외직구,택시,사우나,보험,테마파크,OTT구독,배달,해외결제,대형마트,항공사,숙박
2022-07-16,1,5300,18200,0,31700,117000,0,0,0,0,0,15200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35100,0,0,0,89900,0,0
2022-07-27,1,0,0,0,0,0,12400,0,26200,0,0,0,9700,0,0,0,0,0,121452700,0,0,0,0,0,0,0,0,0,24800,0,0,0,0,0,66800,0,0
2022-07-09,1,0,29200,0,0,0,0,0,0,0,14100,0,7700,0,0,0,0,29000,0,0,0,0,0,0,0,0,34100,0,0,0,0,0,0,0,0,0,0
2022-07-17,1,0,24500,0,0,127500,0,0,13800,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,21700,0,0,0,0,0,0,0,0,0
2022-07-03,1,12200,29000,0,0,0,0,0,0,0,0,0,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,0,0,0,21700,17600,0,0,0,0,0
2022-07-05,1,0,18900,0,0,0,0,0,0,0,17500,45100,0,0,0,27254,0,0,0,0,0,0,158700,12660,0,31100,0,14200,0,0,0,0,0,0,0,0,0
2022-07-28,1,0,18000,0,0,0,0,0,0,70100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200,0,0,0,0,0,0,0,0
2022-07-19,1,0,0,0,0,243000,0,0,33900,35900,32700,0,4000,0,0,0,0,0,0,0,38800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,1,0,17600,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,1,8300,18300,0,0,0,0,0,0,0,12100,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42400,0,0,0,0,0,44650,0,47600,0,0,0,0,12200,39800,0,0,0,0,0
2022-07-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17310,9100,48100,0,0,0,0,0,23100,0,0,0,0,0
2022-07-02,1,0,16300,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,29300,0,0,15520,0,43500,22800,0,0,0,37000,0,0,0,0,0,0
2022-07-11,1,0,16900,0,0,0,0,0,0,92100,0,0,4200,37200,0,0,0,0,0,0,0,0,0,6840,0,26000,0,0,0,0,15500,0,0,0,0,0,0
2022-07-24,1,0,24500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38700,0,0,0,0,0
2022-07-01,1,0,15600,0,0,0,0,0,0,0,0,43500,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,0,0,21100,0,0,0,0,0,0
2022-07-31,1,0,21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38100,0,0,0,35400,0,13500,0,0,0,0
2022-07-26,1,0,21000,0,0,0,0,0,0,108500,0,0,0,0,88400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46800,0,0
2022-07-10,1,0,19900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31100,0,5700,0,0,0,0,0
2022-07-14,1,0,25200,0,0,0,0,0,0,128800,0,0,0,37400,0,0,0,0,0,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,0,0
2022-07-15,2,0,24500,0,0,0,0,0,0,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,10750,0,39200,17500,0,30700,0,0,0,0,0,0,0,0
2022-07-25,2,0,0,0,42100,78400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,32200,0,14500,0,0,0,0,0,0,0,0
2022-07-10,2,0,24100,0,37600,181200,0,0,0,0,0,0,8900,0,80500,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0
2022-07-22,2,0,0,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,9400,0,0,0,0,0,30900,0,0,0,0,0,0,0,0,0,0
2022-07-01,2,0,24800,0,0,0,32900,0,0,0,0,0,3600,38500,0,0,0,0,0,0,0,0,0,0,21600,0,0,0,0,0,0,7100,0,0,0,0,0
2022-07-09,2,13500,17400,0,0,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,0,0,0,685700,0,0,0,0,0,0,0,0,0,0,72539,0,0,0
2022-07-08,2,0,28400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,0
